CD_NOM;CD_REF;CD_SUP;CD_TYPE_STATUT;LB_TYPE_STATUT;REGROUPEMENT_TYPE;CODE_STATUT;LABEL_STATUT;RQ_STATUT;CD_SIG;CD_DOC;LB_NOM;LB_AUTEUR;NOM_COMPLET_HTML;NOM_VALIDE_HTML;REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;GROUP1_INPN;GROUP2_INPN;LB_ADM_TR;NIVEAU_ADMIN;CD_ISO3166_1;CD_ISO3166_2;FULL_CITATION;DOC_URL;THEMATIQUE;TYPE_VALUE
119860;119860;197322;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;sagittaria sagittifolia;L., 1753;<i>Sagittaria sagittifolia</i> L., 1753;<i>Sagittaria sagittifolia</i> L., 1753;Plantae;;Equisetopsida;Alismatales;Alismataceae;Trachéophytes;Angiospermes;Europe;;;;;;STATUTS;VALUE
109213;109213;931831;LRN;Liste rouge nationale;Liste rouge;DD;Données insuffisantes;;TER971;300212;najas marina;L., 1753;<i>Najas marina</i> L., 1753;<i>Najas marina</i> L., 1753;Plantae;;Equisetopsida;Alismatales;Hydrocharitaceae;Trachéophytes;Angiospermes;Guadeloupe;Territoire;GLP;FR-GP;"UICN Comité français, MNHN &amp; CBIG. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Flore vasculaire de Guadeloupe</em>. Paris, France. 19 pp.";;STATUTS;VALUE
69372;69372;200262;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;sander lucioperca;(Linnaeus, 1758);<i>Sander lucioperca</i> (Linnaeus, 1758);<i>Sander lucioperca</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Perciformes;Percidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
67058;67058;191469;LRE;Liste rouge européenne;Liste rouge;NT;Quasi menacé;;EUROPE;;cyprinus carpio;Linnaeus, 1758;<i>Cyprinus carpio</i> Linnaeus, 1758;<i>Cyprinus carpio</i> Linnaeus, 1758;Animalia;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
67257;67257;192866;LRN;Liste rouge nationale;Liste rouge;LC;Préoccupation mineure;;TERFXFR;275396;gobio gobio;(Linnaeus, 1758);<i>Gobio gobio</i> (Linnaeus, 1758);<i>Gobio gobio</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Gobionidae;Chordés;Poissons;France métropolitaine;Territoire;FXX;;"UICN Comité français, MNHN, SFI &amp; AFB. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Poissons d'eau douce de France métropolitaine. Fascicule</em>. UICN France, MNHN, SFI &amp; AFB. Paris, France. 16 pp.";https://inpn.mnhn.fr/docs/LR_FCE/liste_rouge_poissons_eau_douce_metropole_2019_fascicule.pdf;STATUTS;VALUE
69016;69016;196945;LRN;Liste rouge nationale;Liste rouge;DD;Données insuffisantes;;TERFXFR;275396;pungitius pungitius;(Linnaeus, 1758);<i>Pungitius pungitius</i> (Linnaeus, 1758);<i>Pungitius pungitius</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Gasterosteiformes;Gasterosteidae;Chordés;Poissons;France métropolitaine;Territoire;FXX;;"UICN Comité français, MNHN, SFI &amp; AFB. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Poissons d'eau douce de France métropolitaine. Fascicule</em>. UICN France, MNHN, SFI &amp; AFB. Paris, France. 16 pp.";https://inpn.mnhn.fr/docs/LR_FCE/liste_rouge_poissons_eau_douce_metropole_2019_fascicule.pdf;STATUTS;VALUE
67111;67111;188935;LRN;Liste rouge nationale;Liste rouge;LC;Préoccupation mineure;;TERFXFR;275396;alburnus alburnus;(Linnaeus, 1758);<i>Alburnus alburnus</i> (Linnaeus, 1758);<i>Alburnus alburnus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;France métropolitaine;Territoire;FXX;;"UICN Comité français, MNHN, SFI &amp; AFB. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Poissons d'eau douce de France métropolitaine. Fascicule</em>. UICN France, MNHN, SFI &amp; AFB. Paris, France. 16 pp.";https://inpn.mnhn.fr/docs/LR_FCE/liste_rouge_poissons_eau_douce_metropole_2019_fascicule.pdf;STATUTS;VALUE
109150;109150;195012;LRN;Liste rouge nationale;Liste rouge;LC;Préoccupation mineure;;TERFXFR;249369;myriophyllum spicatum;L., 1753;<i>Myriophyllum spicatum</i> L., 1753;<i>Myriophyllum spicatum</i> L., 1753;Plantae;;Equisetopsida;Saxifragales;Haloragaceae;Trachéophytes;Angiospermes;France métropolitaine;Territoire;FXX;;"UICN Comité français, FCBN, AFB &amp; MNHN. 2019. <em>La Liste rouge des espèces menacées en France - Chapitre Flore vasculaire de France métropolitaine. Fascicule.</em> UICN France, FCBN, AFB &amp; MNHN. Paris, France. 32 pp.";https://inpn.mnhn.fr/docs-web/docs/download/249369;STATUTS;VALUE
220038;220038;212071;LRN;Liste rouge nationale;Liste rouge;EN;En danger;B2ab(iii,v);TERFXFR;437590;besdolus imhoffi;(Pictet, 1841);<i>Besdolus imhoffi</i> (Pictet, 1841);<i>Besdolus imhoffi</i> (Pictet, 1841);Animalia;Arthropoda;Insecta;Plecoptera;Perlodidae;Arthropodes;Insectes;France métropolitaine;Territoire;FXX;;"UICN Comité français, OFB, MNHN &amp; OPIE. 2025. <em>La Liste rouge des espèces menacées en France - Chapitre Perles de France métropolitaine</em>. Paris, France. 11 pp.";https://inpn.mnhn.fr/docs-web/docs/download/437590;STATUTS;VALUE
67585;67585;197663;LRN;Liste rouge nationale;Liste rouge;;Non applicable;a;TERFXFR;275396;silurus glanis;Linnaeus, 1758;<i>Silurus glanis</i> Linnaeus, 1758;<i>Silurus glanis</i> Linnaeus, 1758;Animalia;Chordata;Actinopterygii;Siluriformes;Siluridae;Chordés;Poissons;France métropolitaine;Territoire;FXX;;"UICN Comité français, MNHN, SFI &amp; AFB. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Poissons d'eau douce de France métropolitaine. Fascicule</em>. UICN France, MNHN, SFI &amp; AFB. Paris, France. 16 pp.";https://inpn.mnhn.fr/docs/LR_FCE/liste_rouge_poissons_eau_douce_metropole_2019_fascicule.pdf;STATUTS;VALUE
