CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdListeFauFlor;LbListeFauFlor;CdTypListeFauFlor;MnTypListeFauFlor;CdTypTaxRep;MnTypTaxRep;CdAppelTaxon;NomLatinAppelTaxon;RsTaxRep;CdRqNbrTaxRep;MnemoRqNbrTaxRep;CdUniteMesure;SymUniteMesure;RefOperationPrelBio;CdProducteur;NomProducteur
3080660;LA SEINE A ALFORTVILLE 3;003;13;Macroinvertébrés aquatiques;2019-08-08;;C;;;1;NbrTax;19280;Physella;3;1;Domaine de validité;214;n;20201029143652-HB-475853;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2010-08-12;;L1;;;1;NbrTax;9049;Nitzschia supralitorea;2;1;Domaine de validité;214;n;20180201135915-HB-15108;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079097;L'YERRES A PERIGNY 1;005;4;Poissons;2002-06-03;A13#L#0;pre_id5041;;;1;NbrTax;2167;Pungitius pungitius;1;1;Domaine de validité;214;n;Aspe981eta1_2002-06-03_14:30:00_03079097;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;1997-05-28;A4#L#0;pre_id4627;;;1;NbrTax;2038;Anguilla anguilla;4;1;Domaine de validité;214;n;Aspe913eta1_1997-05-28_10:30:00_03112088;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1997-09-09;A3#L#0;pre_id4645;;;1;NbrTax;2193;Perca fluviatilis;7;1;Domaine de validité;214;n;Aspe916eta1_1997-09-09_10:30:00_03112480;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;003;13;Macroinvertébrés aquatiques;2019-07-17;A;A;;;1;NbrTax;892;Gammarus;297;1;Domaine de validité;214;n;20201029143648-HB-475813;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2022-08-23;;C;;;1;NbrTax;3206;Copepoda;1;1;Domaine de validité;214;n;20230704161839-HB-550190;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2019-08-09;A;A;;;1;NbrTax;4324;Mysidae;5;1;Domaine de validité;214;n;20201029143653-HB-475858;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2019-08-09;C;C';;;1;NbrTax;1043;Pisidium;96;1;Domaine de validité;214;n;20201029143653-HB-475858;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112000;LA MARNE A JOINVILLE-LE-PONT 1;003;13;Macroinvertébrés aquatiques;2010-08-03;B;B2;;;1;NbrTax;928;Erpobdellidae;27;1;Domaine de validité;0;Unité inconnue;20180130180353-HB-7457;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
